,index,@context,@type,bodyType,brand,color,driveWheelConfiguration,image,manufacturer,mileageFromOdometer,model,name,offers,productionDate,url,vehicleEngine,vehicleIdentificationNumber,vehicleInteriorColor,vehicleTransmission,mileage,price,price_over_mileage
16,16,http://schema.org/,Car,['Sport Utility'],Lexus,Black,4 wheel drive - rear,,Lexus,"{'@type': 'QuantitativeValue', 'value': ''}",LX 570,New 2019 Lexus LX 570 4WD,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 101715, 'itemCondition': 'http://schema.org/New', 'availability': 'http://schema.org/InStock'}",2019,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=501581838,8-Cylinder,JTJHY7AX8K4290285,Black Roof/Moonlight,Automatic,,101715,
17,17,http://schema.org/,Car,['Sport Utility'],Lexus,Black,4 wheel drive - rear,https://images.autotrader.com/pictures/model_info/Imagesv2_US_EN/All/22852.jpg,Lexus,"{'@type': 'QuantitativeValue', 'value': ''}",LX 570,New 2019 Lexus LX 570 4WD,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 101715, 'itemCondition': 'http://schema.org/New', 'availability': 'http://schema.org/InStock'}",2019,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=501468192,8-Cylinder,JTJHY7AX5K4289319,Black Roof/Moonlight,Automatic,,101715,
18,18,http://schema.org/,Car,['Sport Utility'],Lexus,Gray,4 wheel drive - rear,,Lexus,"{'@type': 'QuantitativeValue', 'value': ''}",LX 570,New 2019 Lexus LX 570 4WD,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 101439, 'itemCondition': 'http://schema.org/New', 'availability': 'http://schema.org/InStock'}",2019,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=498002283,8-Cylinder,JTJHY7AX9K4285533,Parchment,Automatic,,101439,
19,19,http://schema.org/,Car,['Sport Utility'],Lexus,Black,4 wheel drive - rear,https://images.autotrader.com/hn/c/b64fcad6600f4f9c94f187160e8171a3.jpg,Lexus,"{'@type': 'QuantitativeValue', 'value': ''}",LX 570,New 2019 Lexus LX 570 4WD,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 101015, 'itemCondition': 'http://schema.org/New', 'availability': 'http://schema.org/InStock'}",2019,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=501966331,8-Cylinder,JTJHY7AX5K4292107,Black Roof,Automatic,,101015,
20,20,http://schema.org/,Car,['Sport Utility'],Lexus,White,4 wheel drive - rear,https://images.autotrader.com/hn/c/54334fab747b46208f80546f450e1689.jpg,Lexus,"{'@type': 'QuantitativeValue', 'value': ''}",LX 570,New 2019 Lexus LX 570 4WD,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 100865, 'itemCondition': 'http://schema.org/New', 'availability': 'http://schema.org/InStock'}",2019,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=495472969,8-Cylinder,JTJHY7AX3K4284376,Black,Automatic,,100865,
21,21,http://schema.org/,Car,['Sport Utility'],Lexus,Silver,4 wheel drive - rear,,Lexus,"{'@type': 'QuantitativeValue', 'value': ''}",LX 570,New 2019 Lexus LX 570 4WD,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 100865, 'itemCondition': 'http://schema.org/New', 'availability': 'http://schema.org/InStock'}",2019,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=500707904,8-Cylinder,JTJHY7AX8K4290884,Black,Automatic,,100865,
23,23,http://schema.org/,Car,['Sport Utility'],Lexus,Black,4 wheel drive - rear,https://images.autotrader.com/pictures/model_info/Imagesv2_US_EN/All/22852.jpg,Lexus,"{'@type': 'QuantitativeValue', 'value': ''}",LX 570,New 2019 Lexus LX 570 4WD,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 100865, 'itemCondition': 'http://schema.org/New', 'availability': 'http://schema.org/InStock'}",2019,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=501228755,8-Cylinder,JTJHY7AX7K4291203,Lr21 Black,Automatic,,100865,
24,24,http://schema.org/,Car,['Sport Utility'],Lexus,White,4 wheel drive - rear,https://images.autotrader.com/pictures/model_info/Imagesv2_US_EN/All/22852.jpg,Lexus,"{'@type': 'QuantitativeValue', 'value': ''}",LX 570,New 2019 Lexus LX 570 4WD,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 100865, 'itemCondition': 'http://schema.org/New', 'availability': 'http://schema.org/InStock'}",2019,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=501663466,8-Cylinder,JTJHY7AX0K4291916,Parchment,Automatic,,100865,
25,25,http://schema.org/,Car,['Sport Utility'],Lexus,Black,4 wheel drive - rear,,Lexus,"{'@type': 'QuantitativeValue', 'value': ''}",LX 570,New 2019 Lexus LX 570 4WD,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 100824, 'itemCondition': 'http://schema.org/New', 'availability': 'http://schema.org/InStock'}",2019,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=500490196,8-Cylinder,JTJHY7AX1K4289253,Black,Automatic,,100824,
26,26,http://schema.org/,Car,['Sport Utility'],Lexus,Silver,4 wheel drive - rear,https://images.autotrader.com/pictures/model_info/Imagesv2_US_EN/All/22852.jpg,Lexus,"{'@type': 'QuantitativeValue', 'value': ''}",LX 570,New 2019 Lexus LX 570 4WD,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 100824, 'itemCondition': 'http://schema.org/New', 'availability': 'http://schema.org/InStock'}",2019,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=498172810,8-Cylinder,JTJHY7AXXK4286318,Cabernet,Automatic,,100824,
27,27,http://schema.org/,Car,['Sport Utility'],Lexus,Black,4 wheel drive - rear,https://images.autotrader.com/hn/c/228cca2b30bd402ea61a30f4cfb23d1e.jpg,Lexus,"{'@type': 'QuantitativeValue', 'value': ''}",LX 570,New 2019 Lexus LX 570 4WD,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 100824, 'itemCondition': 'http://schema.org/New', 'availability': 'http://schema.org/InStock'}",2019,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=499028292,8-Cylinder,JTJHY7AX7K4285448,Cabernet,Automatic,,100824,
28,28,http://schema.org/,Car,['Sport Utility'],Lexus,White,4 wheel drive - rear,https://images.autotrader.com/pictures/model_info/Imagesv2_US_EN/All/22852.jpg,Lexus,"{'@type': 'QuantitativeValue', 'value': ''}",LX 570,New 2019 Lexus LX 570 4WD,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 100824, 'itemCondition': 'http://schema.org/New', 'availability': 'http://schema.org/InStock'}",2019,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=500416858,8-Cylinder,JTJHY7AX5K4288249,,Automatic,,100824,
29,29,http://schema.org/,Car,['Sport Utility'],Lexus,Gray,4 wheel drive - rear,https://images.autotrader.com/hn/c/b677acf1fff84ce085ad2229eb230142.jpg,Lexus,"{'@type': 'QuantitativeValue', 'value': ''}",LX 570,New 2019 Lexus LX 570 4WD,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 100824, 'itemCondition': 'http://schema.org/New', 'availability': 'http://schema.org/InStock'}",2019,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=497916448,8-Cylinder,JTJHY7AX9K4285614,Black,Automatic,,100824,
30,30,http://schema.org/,Car,['Sport Utility'],Lexus,Silver,4 wheel drive - rear,https://images.autotrader.com/pictures/model_info/Imagesv2_US_EN/All/22852.jpg,Lexus,"{'@type': 'QuantitativeValue', 'value': ''}",LX 570,New 2019 Lexus LX 570 4WD,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 100824, 'itemCondition': 'http://schema.org/New', 'availability': 'http://schema.org/InStock'}",2019,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=497480307,8-Cylinder,JTJHY7AX8K4286799,,Automatic,,100824,
31,31,http://schema.org/,Car,['Sport Utility'],Lexus,Black,4 wheel drive - rear,https://images.autotrader.com/pictures/model_info/Imagesv2_US_EN/All/22852.jpg,Lexus,"{'@type': 'QuantitativeValue', 'value': ''}",LX 570,New 2019 Lexus LX 570 4WD,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 100824, 'itemCondition': 'http://schema.org/New', 'availability': 'http://schema.org/InStock'}",2019,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=497560982,8-Cylinder,JTJHY7AX6K4287207,Lr32,Automatic,,100824,
32,32,http://schema.org/,Car,['Sport Utility'],Lexus,White,4 wheel drive - rear,https://images.autotrader.com/hn/c/e7e4cc2a45674f45bef1625f635a9726.jpg,Lexus,"{'@type': 'QuantitativeValue', 'value': ''}",LX 570,New 2019 Lexus LX 570 4WD,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 100824, 'itemCondition': 'http://schema.org/New', 'availability': 'http://schema.org/InStock'}",2019,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=498833022,8-Cylinder,JTJHY7AX6K4286851,Lr02 Parchment,Automatic,,100824,
33,33,http://schema.org/,Car,['Sport Utility'],Lexus,,4 wheel drive - rear,https://images.autotrader.com/hn/c/878f909e8f2641438671d31ba38492f3.jpg,Lexus,"{'@type': 'QuantitativeValue', 'value': ''}",LX 570,New 2019 Lexus LX 570 4WD,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 100824, 'itemCondition': 'http://schema.org/New', 'availability': 'http://schema.org/InStock'}",2019,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=500132336,8-Cylinder,JTJHY7AX5K4287747,Parchment,Automatic,,100824,
34,34,http://schema.org/,Car,['Sport Utility'],Lexus,Silver,4 wheel drive - rear,https://images.autotrader.com/pictures/model_info/Imagesv2_US_EN/All/22852.jpg,Lexus,"{'@type': 'QuantitativeValue', 'value': ''}",LX 570,New 2019 Lexus LX 570 4WD,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 100824, 'itemCondition': 'http://schema.org/New', 'availability': 'http://schema.org/InStock'}",2019,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=497560979,8-Cylinder,JTJHY7AX7K4287197,Lr32/Cabernet,Automatic,,100824,
35,35,http://schema.org/,Car,['Sport Utility'],Lexus,White,4 wheel drive - rear,https://images.autotrader.com/pictures/model_info/Imagesv2_US_EN/All/22852.jpg,Lexus,"{'@type': 'QuantitativeValue', 'value': ''}",LX 570,New 2019 Lexus LX 570 4WD,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 100824, 'itemCondition': 'http://schema.org/New', 'availability': 'http://schema.org/InStock'}",2019,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=502166057,8-Cylinder,JTJHY7AX1K4291231,Cabernet Leather[Cabernet] Wit,Automatic,,100824,
36,36,http://schema.org/,Car,['Sport Utility'],Lexus,Gray,4 wheel drive - rear,https://images.autotrader.com/hn/c/3a3c2adc6dc444b68356269954efb69a.jpg,Lexus,"{'@type': 'QuantitativeValue', 'value': ''}",LX 570,New 2019 Lexus LX 570 4WD,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 100801, 'itemCondition': 'http://schema.org/New', 'availability': 'http://schema.org/InStock'}",2019,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=497713391,8-Cylinder,JTJHY7AX3K4285947,Cabernet,Automatic,,100801,
37,37,http://schema.org/,Car,['Sport Utility'],Lexus,Black,4 wheel drive - rear,https://images.autotrader.com/pictures/model_info/Imagesv2_US_EN/All/22852.jpg,Lexus,"{'@type': 'QuantitativeValue', 'value': ''}",LX 570,New 2019 Lexus LX 570 4WD,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 100790, 'itemCondition': 'http://schema.org/New', 'availability': 'http://schema.org/InStock'}",2019,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=500290400,8-Cylinder,JTJHY7AX3K4288413,Parchment,Automatic,,100790,
38,38,http://schema.org/,Car,['Sport Utility'],Lexus,Black,4 wheel drive - rear,,Lexus,"{'@type': 'QuantitativeValue', 'value': ''}",LX 570,New 2019 Lexus LX 570 4WD,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 100775, 'itemCondition': 'http://schema.org/New', 'availability': 'http://schema.org/InStock'}",2019,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=496610342,8-Cylinder,JTJHY7AX6K4283755,Black,Automatic,,100775,
39,39,http://schema.org/,Car,['Sport Utility'],Lexus,Black,4 wheel drive - rear,https://images.autotrader.com/hn/c/c6278ebdcbdc42de864ece3de26d5e6a.jpg,Lexus,"{'@type': 'QuantitativeValue', 'value': ''}",LX 570,New 2019 Lexus LX 570 4WD,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 100775, 'itemCondition': 'http://schema.org/New', 'availability': 'http://schema.org/InStock'}",2019,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=496337797,8-Cylinder,JTJHY7AX4K4283804,Cabernet,Automatic,,100775,
40,40,http://schema.org/,Car,['Sport Utility'],Lexus,Silver,4 wheel drive - rear,https://images.autotrader.com/pictures/model_info/Imagesv2_US_EN/All/22852.jpg,Lexus,"{'@type': 'QuantitativeValue', 'value': ''}",LX 570,New 2019 Lexus LX 570 4WD,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 100769, 'itemCondition': 'http://schema.org/New', 'availability': 'http://schema.org/InStock'}",2019,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=498702684,8-Cylinder,JTJHY7AX7K4285952,Cabernet,Automatic,,100769,
42,42,http://schema.org/,Car,['Sport Utility'],Lexus,Black,4 wheel drive - rear,https://images.autotrader.com/pictures/model_info/Imagesv2_US_EN/All/22852.jpg,Lexus,"{'@type': 'QuantitativeValue', 'value': ''}",LX 570,New 2019 Lexus LX 570 4WD,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 100734, 'itemCondition': 'http://schema.org/New', 'availability': 'http://schema.org/InStock'}",2019,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=497501388,8-Cylinder,JTJHY7AX0K4287509,Black,Automatic,,100734,
44,44,http://schema.org/,Car,['Sport Utility'],Lexus,White,4 wheel drive - rear,https://images.autotrader.com/pictures/model_info/Imagesv2_US_EN/All/22852.jpg,Lexus,"{'@type': 'QuantitativeValue', 'value': ''}",LX 570,New 2019 Lexus LX 570 4WD,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 100734, 'itemCondition': 'http://schema.org/New', 'availability': 'http://schema.org/InStock'}",2019,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=500735583,8-Cylinder,JTJHY7AX5K4288414,Lr21/Black,Automatic,,100734,
45,45,http://schema.org/,Car,['Sport Utility'],Lexus,Blue,4 wheel drive - rear,https://images.autotrader.com/pictures/model_info/Imagesv2_US_EN/All/22852.jpg,Lexus,"{'@type': 'QuantitativeValue', 'value': ''}",LX 570,New 2019 Lexus LX 570 4WD,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 100700, 'itemCondition': 'http://schema.org/New', 'availability': 'http://schema.org/InStock'}",2019,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=499805551,8-Cylinder,JTJHY7AX4K4287545,Parchment,Automatic,,100700,
47,47,http://schema.org/,Car,['Sport Utility'],Lexus,Silver,4 wheel drive - rear,https://images.autotrader.com/hn/c/20ef34d0bdd0459585c94933843da0e4.jpg,Lexus,"{'@type': 'QuantitativeValue', 'value': ''}",LX 570,New 2019 Lexus LX 570 4WD,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 100695, 'itemCondition': 'http://schema.org/New', 'availability': 'http://schema.org/InStock'}",2019,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=495995801,8-Cylinder,JTJHY7AX8K4282977,Black,Automatic,,100695,
48,48,http://schema.org/,Car,['Sport Utility'],Lexus,White,4 wheel drive - rear,,Lexus,"{'@type': 'QuantitativeValue', 'value': ''}",LX 570,New 2019 Lexus LX 570 4WD,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 100659, 'itemCondition': 'http://schema.org/New', 'availability': 'http://schema.org/InStock'}",2019,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=501582878,8-Cylinder,JTJHY7AX0K4288708,Cabernet,Automatic,,100659,
49,49,http://schema.org/,Car,['Sport Utility'],Lexus,White,4 wheel drive - rear,https://images.autotrader.com/hn/c/829786b9553b48cb897ae797b98e90b1.jpg,Lexus,"{'@type': 'QuantitativeValue', 'value': ''}",LX 570,New 2019 Lexus LX 570 4WD,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 100659, 'itemCondition': 'http://schema.org/New', 'availability': 'http://schema.org/InStock'}",2019,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=498592216,8-Cylinder,JTJHY7AX0K4286523,Parchment,Automatic,,100659,
50,50,http://schema.org/,Car,['Sport Utility'],Lexus,White,4 wheel drive - rear,https://images.autotrader.com/pictures/model_info/Imagesv2_US_EN/All/22852.jpg,Lexus,"{'@type': 'QuantitativeValue', 'value': ''}",LX 570,New 2019 Lexus LX 570 4WD,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 100659, 'itemCondition': 'http://schema.org/New', 'availability': 'http://schema.org/InStock'}",2019,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=502117198,8-Cylinder,JTJHY7AX1K4290645,Black,Automatic,,100659,
52,52,http://schema.org/,Car,['Sport Utility'],Lexus,Black,4 wheel drive - rear,https://images.autotrader.com/pictures/model_info/Imagesv2_US_EN/All/22852.jpg,Lexus,"{'@type': 'QuantitativeValue', 'value': ''}",LX 570,New 2019 Lexus LX 570 4WD,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 100659, 'itemCondition': 'http://schema.org/New', 'availability': 'http://schema.org/InStock'}",2019,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=498475727,8-Cylinder,JTJHY7AX8K4287015,Black,Automatic,,100659,
53,53,http://schema.org/,Car,['Sport Utility'],Lexus,Gray,4 wheel drive - rear,https://images.autotrader.com/hn/c/16679694391b4ae1a6ce796b4a631c6d.jpg,Lexus,"{'@type': 'QuantitativeValue', 'value': ''}",LX 570,New 2019 Lexus LX 570 4WD,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 100659, 'itemCondition': 'http://schema.org/New', 'availability': 'http://schema.org/InStock'}",2019,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=499893963,8-Cylinder,JTJHY7AX0K4287834,Parchment,Automatic,,100659,
54,54,http://schema.org/,Car,['Sport Utility'],Lexus,Silver,4 wheel drive - rear,https://images.autotrader.com/hn/c/e8bba2bfe2064988af7580f26ea305cb.jpg,Lexus,"{'@type': 'QuantitativeValue', 'value': ''}",LX 570,New 2019 Lexus LX 570 4WD,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 100654, 'itemCondition': 'http://schema.org/New', 'availability': 'http://schema.org/InStock'}",2019,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=494902886,8-Cylinder,JTJHY7AX7K4282985,Lr21/Black,Automatic,,100654,
55,55,http://schema.org/,Car,['Sport Utility'],Lexus,,4 wheel drive - rear,https://images.autotrader.com/hn/c/4860b0df7b634ac69799854f5aabc203.jpg,Lexus,"{'@type': 'QuantitativeValue', 'value': ''}",LX 570,New 2019 Lexus LX 570 4WD,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 100651, 'itemCondition': 'http://schema.org/New', 'availability': 'http://schema.org/InStock'}",2019,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=497368595,8-Cylinder,JTJHY7AX0K4284898,,Automatic,,100651,
56,56,http://schema.org/,Car,['Sport Utility'],Lexus,Silver,4 wheel drive - rear,https://images.autotrader.com/pictures/model_info/Imagesv2_US_EN/All/22852.jpg,Lexus,"{'@type': 'QuantitativeValue', 'value': ''}",LX 570,New 2019 Lexus LX 570 4WD,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 100554, 'itemCondition': 'http://schema.org/New', 'availability': 'http://schema.org/InStock'}",2019,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=502166058,8-Cylinder,JTJHY7AX7K4290486,Black Leather With Dark Brown ,Automatic,,100554,
57,57,http://schema.org/,Car,['Sport Utility'],Lexus,Silver,4 wheel drive - rear,https://images.autotrader.com/pictures/model_info/Imagesv2_US_EN/All/22852.jpg,Lexus,"{'@type': 'QuantitativeValue', 'value': ''}",LX 570,New 2019 Lexus LX 570 4WD,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 100530, 'itemCondition': 'http://schema.org/New', 'availability': 'http://schema.org/InStock'}",2019,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=501264847,8-Cylinder,JTJHY7AX8K4289573,Cabernet,Automatic,,100530,
58,58,http://schema.org/,Car,['Sport Utility'],Lexus,White,4 wheel drive - rear,https://images.autotrader.com/hn/c/a8e49de121af493c9a2fc56d8113a6e6.jpg,Lexus,"{'@type': 'QuantitativeValue', 'value': ''}",LX 570,New 2019 Lexus LX 570 4WD,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 100510, 'itemCondition': 'http://schema.org/New', 'availability': 'http://schema.org/InStock'}",2019,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=500012005,8-Cylinder,JTJHY7AX0K4288417,Lr21 Black,Automatic,,100510,
