,index,@context,@type,bodyType,brand,color,driveWheelConfiguration,image,manufacturer,mileageFromOdometer,model,name,offers,productionDate,url,vehicleEngine,vehicleIdentificationNumber,vehicleInteriorColor,vehicleTransmission,mileage,price
19,19,http://schema.org/,Car,['Sedan'],Toyota,Black,2 wheel drive - front,https://images.autotrader.com/hn/c/9e23f4495ab949b3825908adae96768b.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '88,677'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 10300, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,1NXBU4EE8AZ377402,Dark Charcoal,Automatic,88677.0,10300
20,20,http://schema.org/,Car,['Sedan'],Toyota,Red,2 wheel drive - front,https://images.autotrader.com/hn/c/222a8bc622ab4be5b84709d321994fcf.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '88,314'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 10071, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,1NXBU4EE7AZ334993,Dark Charcoal,Automatic,88314.0,10071
21,21,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,https://images.autotrader.com/hn/c/fa607983603843c8a8195e069533cba4.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '83,382'}",Corolla,Used 2009 Toyota Corolla XLE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 10000, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2009,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,JTDBL40E99J024646,Ash,Automatic,83382.0,10000
22,22,http://schema.org/,Car,['Sedan'],Toyota,Tan,2 wheel drive - front,,Toyota,"{'@type': 'QuantitativeValue', 'value': '51,103'}",Corolla,Used 2010 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9999, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,2T1BU4EE6AC335201,Tan,Automatic,51103.0,9999
23,23,http://schema.org/,Car,['Sedan'],Toyota,Gray,2 wheel drive - front,https://images.autotrader.com/hn/c/91768f4d56d04d95aa65d39e36ef98c3.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '53,314'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9998, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,2T1BU4EEXAC318448,Dark Charcoal,Automatic,53314.0,9998
24,24,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,,Toyota,"{'@type': 'QuantitativeValue', 'value': '51,163'}",Corolla,Used 2008 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9995, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2008,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,1NXBR32E98Z979333,,Manual,51163.0,9995
25,25,http://schema.org/,Car,['Sedan'],Toyota,Gray,2 wheel drive - front,https://images.autotrader.com/hn/c/3d9efd368f0e458487e97cee4e993e58.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '81,415'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9995, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,2T1BU4EE6AC437307,,Automatic,81415.0,9995
26,26,http://schema.org/,Car,['Sedan'],Toyota,White,2 wheel drive - front,https://images.autotrader.com/hn/c/8eea7fabcf9443f49fe991b7b9b14296.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '114,401'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9995, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,1NXBU4EE3AZ261217,Dark Charcoal,Automatic,114401.0,9995
27,27,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,https://images.autotrader.com/hn/c/c5f0a7082f8f431db700a59bdb561825.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '64,277'}",Corolla,Used 2010 Toyota Corolla LE Sedan,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9995, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,1NXBU4EEXAZ359399,Ash,Automatic,64277.0,9995
28,28,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,,Toyota,"{'@type': 'QuantitativeValue', 'value': '60,291'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9995, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,1NXBU4EE3AZ350480,,Automatic,60291.0,9995
29,29,http://schema.org/,Car,['Sedan'],Toyota,Black,2 wheel drive - front,https://images.autotrader.com/hn/c/caafc1fd558c4ed1b25abbb9205795fb.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '39,662'}",Corolla,Used 2010 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9995, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,1NXBU4EE2AZ365715,Gray,Automatic,39662.0,9995
30,30,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,https://images.autotrader.com/hn/c/851f986df27445df9e2728091123efae.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '99,324'}",Corolla,Used 2010 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9993, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,2T1BU4EE8AC462421,Ash,,99324.0,9993
31,31,http://schema.org/,Car,['Sedan'],Toyota,Blue,2 wheel drive - front,https://images.autotrader.com/hn/c/adb231e8f42e4d26a160b02255032347.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '43,338'}",Corolla,Used 2009 Toyota Corolla XLE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9993, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2009,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,JTDBL40E19J047967,Dark Charcoal,Automatic,43338.0,9993
32,32,http://schema.org/,Car,['Sedan'],Toyota,White,2 wheel drive - front,https://images.autotrader.com/hn/c/8f4fb45cfbf04d10b0455a7ed7cfdfe1.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '94,660'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9990, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,1NXBU4EE7AZ253217,Black,Automatic,94660.0,9990
33,33,http://schema.org/,Car,['Sedan'],Toyota,Tan,2 wheel drive - front,https://images.autotrader.com/hn/c/a2fccd9a6fee44bd9375e011f9892dab.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '50,090'}",Corolla,Used 2009 Toyota Corolla LE Sedan,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9990, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2009,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,1NXBU40E89Z159169,Tan,Automatic,50090.0,9990
34,34,http://schema.org/,Car,['Sedan'],Toyota,Gray,2 wheel drive - front,,Toyota,"{'@type': 'QuantitativeValue', 'value': '102,735'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9988, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,2T1BU4EE8AC494639,,Automatic,102735.0,9988
35,35,http://schema.org/,Car,['Sedan'],Toyota,White,2 wheel drive - front,https://images.autotrader.com/hn/c/2430e62b05284503a6ea8c3e024db623.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '68,479'}",Corolla,Used 2010 Toyota Corolla LE Sedan,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9975, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,1NXBU4EE0AZ196455,Bisque,Automatic,68479.0,9975
36,36,http://schema.org/,Car,['Sedan'],Toyota,Gray,2 wheel drive - front,https://images.autotrader.com/hn/c/18d0c522e41d4456b8ede00d0a1b84f4.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '79,493'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9950, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,1NXBU4EE0AZ246450,Ash,Automatic,79493.0,9950
37,37,http://schema.org/,Car,['Sedan'],Toyota,Gray,2 wheel drive - front,https://images.autotrader.com/hn/c/54e62743b37848bc888656a6df531ed7.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '45,696'}",Corolla,Used 2010 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9896, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,2T1BU4EE8AC354381,Ash,Automatic,45696.0,9896
38,38,http://schema.org/,Car,['Sedan'],Toyota,Black,2 wheel drive - front,https://images.autotrader.com/hn/c/64521c05a3de46e1bda777fd70f10891.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '85,992'}",Corolla,Used 2010 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9877, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,1NXBU4EE7AZ330104,Dark Charcoal,,85992.0,9877
39,39,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,https://images.autotrader.com/hn/c/a96637da8fac4057a3bfa94234b34c19.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '58,328'}",Corolla,Used 2010 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9876, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,1NXBU4EE0AZ288519,Ash,Automatic,58328.0,9876
40,40,http://schema.org/,Car,['Sedan'],Toyota,Green,2 wheel drive - front,https://images.autotrader.com/hn/c/d3aed5269bea45acbc9c1008fca0f1bb.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '44,570'}",Corolla,Used 2010 Toyota Corolla XLE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9875, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,2T1BU4EEXAC360828,Ash,Automatic,44570.0,9875
41,41,http://schema.org/,Car,['Sedan'],Toyota,White,2 wheel drive - front,https://images.autotrader.com/hn/c/173422ea93cb433995864dba29f800f1.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '51,269'}",Corolla,Used 2010 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9850, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,2T1BU4EE9AC493080,Ash,Automatic,51269.0,9850
42,42,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,https://images.autotrader.com/hn/c/f07fede19df94888b27b35a10636a3ec.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '129,387'}",Corolla,Used 2010 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9721, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,1NXBU4EE2AZ308530,,Automatic,129387.0,9721
43,43,http://schema.org/,Car,['Sedan'],Toyota,Gray,2 wheel drive - front,https://images.autotrader.com/hn/c/8d79d47349a64ce09f972a02c554fd4b.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '64,994'}",Corolla,Used 2010 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9704, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,2T1BU4EE1AC526556,Ash,Automatic,64994.0,9704
44,44,http://schema.org/,Car,['Sedan'],Toyota,Red,2 wheel drive - front,https://images.autotrader.com/hn/c/ccb1f5bace5a43838c58788b93c5b15d.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '68,041'}",Corolla,Used 2010 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9688, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,1NXBU4EE4AZ173146,,Automatic,68041.0,9688
45,45,http://schema.org/,Car,['Sedan'],Toyota,Black,2 wheel drive - front,https://images.autotrader.com/hn/c/c3c734e743c440afa0c1f887df0aaf3e.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '54,535'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9547, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,2T1BU4EE6AC467990,Dark Charcoal,Automatic,54535.0,9547
46,46,http://schema.org/,Car,['Sedan'],Toyota,White,2 wheel drive - front,https://images.autotrader.com/hn/c/f4494375f0b14f02b5e1384ce8b483eb.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '72,177'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9500, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,2T1BU4EE9AC456918,,Automatic,72177.0,9500
47,47,http://schema.org/,Car,['Sedan'],Toyota,White,2 wheel drive - front,https://images.autotrader.com/hn/c/cdfd6e2ceda44da59df600516dd16928.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '72,113'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9500, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,2T1BU4EE0AC332102,Dark Charcoal,Automatic,72113.0,9500
48,48,http://schema.org/,Car,['Sedan'],Toyota,Green,2 wheel drive - front,https://images.autotrader.com/hn/c/1231b26165b149a5a8826ed984cb4660.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '38,563'}",Corolla,Used 2009 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9500, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2009,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,JTDBL40E19J041960,,Automatic,38563.0,9500
49,49,http://schema.org/,Car,['Sedan'],Toyota,Gray,2 wheel drive - front,https://images.autotrader.com/hn/c/006a8fcbc3ba4925aebdad3318ffb495.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '41,831'}",Corolla,Used 2010 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9495, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,1NXBU4EE2AZ288442,Ash,Automatic,41831.0,9495
50,50,http://schema.org/,Car,['Sedan'],Toyota,Red,2 wheel drive - front,,Toyota,"{'@type': 'QuantitativeValue', 'value': '74,174'}",Corolla,Used 2010 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9490, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,JTDBU4EE1A9095819,Bisque,Automatic,74174.0,9490
