,index,@context,@type,bodyType,brand,color,driveWheelConfiguration,image,manufacturer,mileageFromOdometer,model,name,offers,productionDate,url,vehicleEngine,vehicleIdentificationNumber,vehicleInteriorColor,vehicleTransmission,price,mileage,price_over_mileage,trim
18,18,http://schema.org/,Car,['Sedan'],Toyota,Black,2 wheel drive - front,https://images2.autotrader.com/hn/c/becf0fdc92aa49a48c3f0a89158a51f2.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '27,808'}",Corolla,Used 2010 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 10400, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=500918081,4-Cylinder,1NXBU4EE8AZ247653,Bisque,Automatic,10400,27808.0,0.3739930955120829, LE
19,19,http://schema.org/,Car,['Sedan'],Toyota,Black,2 wheel drive - front,https://images2.autotrader.com/hn/c/9e23f4495ab949b3825908adae96768b.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '88,677'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 10300, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=496080579,4-Cylinder,1NXBU4EE8AZ377402,Dark Charcoal,Automatic,10300,88677.0,0.11615187703688667, S
20,20,http://schema.org/,Car,['Sedan'],Toyota,Tan,2 wheel drive - front,,Toyota,"{'@type': 'QuantitativeValue', 'value': '51,103'}",Corolla,Used 2010 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9999, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=501576748,4-Cylinder,2T1BU4EE6AC335201,Tan,Automatic,9999,51103.0,0.1956636596677299,
21,21,http://schema.org/,Car,['Sedan'],Toyota,Gray,2 wheel drive - front,https://images2.autotrader.com/hn/c/91768f4d56d04d95aa65d39e36ef98c3.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '53,314'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9998, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=501316101,4-Cylinder,2T1BU4EEXAC318448,Dark Charcoal,Automatic,9998,53314.0,0.18753047979892712, S
22,22,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,,Toyota,"{'@type': 'QuantitativeValue', 'value': '51,163'}",Corolla,Used 2008 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9995, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2008,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=500553596,4-Cylinder,1NXBR32E98Z979333,,Manual,9995,51163.0,0.1953560189981041,
23,23,http://schema.org/,Car,['Sedan'],Toyota,Gray,2 wheel drive - front,https://images2.autotrader.com/hn/c/3d9efd368f0e458487e97cee4e993e58.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '81,415'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9995, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=496232752,4-Cylinder,2T1BU4EE6AC437307,,Automatic,9995,81415.0,0.12276607504759565, S
24,24,http://schema.org/,Car,['Sedan'],Toyota,Blue,2 wheel drive - front,https://images2.autotrader.com/hn/c/ec3994e7060244ad85702a5ae775a638.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '82,706'}",Corolla,Used 2009 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9995, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2009,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=501566263,4-Cylinder,2T1BU40E59C117611,Dark Charcoal,Automatic,9995,82706.0,0.12084975697047373, S
25,25,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,https://images2.autotrader.com/hn/c/c5f0a7082f8f431db700a59bdb561825.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '64,277'}",Corolla,Used 2010 Toyota Corolla LE Sedan,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9995, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=491075066,4-Cylinder,1NXBU4EEXAZ359399,Ash,Automatic,9995,64277.0,0.15549885651166048, LE Sedan
26,26,http://schema.org/,Car,['Sedan'],Toyota,Gray,2 wheel drive - front,https://images2.autotrader.com/hn/c/006a8fcbc3ba4925aebdad3318ffb495.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '41,831'}",Corolla,Used 2010 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9995, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=499582727,4-Cylinder,1NXBU4EE2AZ288442,Ash,Automatic,9995,41831.0,0.23893762998732998, LE
27,27,http://schema.org/,Car,['Sedan'],Toyota,Black,2 wheel drive - front,https://images2.autotrader.com/hn/c/caafc1fd558c4ed1b25abbb9205795fb.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '39,662'}",Corolla,Used 2010 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9995, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=490690764,4-Cylinder,1NXBU4EE2AZ365715,Gray,Automatic,9995,39662.0,0.25200443749684837, LE
28,28,http://schema.org/,Car,['Sedan'],Toyota,,2 wheel drive - front,https://images2.autotrader.com/hn/c/4d4391760a7f4f7e933cc8f17fd976c7.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '34,681'}",Corolla,Used 2010 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9995, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=501796014,4-Cylinder,2T1BU4EE3AC459197,,Automatic,9995,34681.0,0.2881981488423056, LE
29,29,http://schema.org/,Car,['Sedan'],Toyota,White,2 wheel drive - front,https://images2.autotrader.com/hn/c/b764290773de454fb0e049458da0fda1.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '75,220'}",Corolla,Used 2009 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9994, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2009,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=500981583,4-Cylinder,JTDBL40E599026718,Ash,Automatic,9994,75220.0,0.1328636001063547, LE
30,30,http://schema.org/,Car,['Sedan'],Toyota,Blue,2 wheel drive - front,https://images2.autotrader.com/hn/c/adb231e8f42e4d26a160b02255032347.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '43,338'}",Corolla,Used 2009 Toyota Corolla XLE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9993, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2009,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=497806968,4-Cylinder,JTDBL40E19J047967,Dark Charcoal,Automatic,9993,43338.0,0.2305828603073515, XLE
31,31,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,https://images2.autotrader.com/hn/c/851f986df27445df9e2728091123efae.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '99,324'}",Corolla,Used 2010 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9992, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=496720291,4-Cylinder,2T1BU4EE8AC462421,Ash,,9992,99324.0,0.10060005638113648,
32,32,http://schema.org/,Car,['Sedan'],Toyota,Red,2 wheel drive - front,https://images2.autotrader.com/hn/c/70692c5d275646f299e30b4501ddbeed.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '94,223'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9991, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=502066813,4-Cylinder,1NXBU4EE5AZ376420,Other,Automatic,9991,94223.0,0.10603568130923448, S
33,33,http://schema.org/,Car,['Sedan'],Toyota,White,2 wheel drive - front,https://images2.autotrader.com/hn/c/8f4fb45cfbf04d10b0455a7ed7cfdfe1.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '94,660'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9990, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=499260114,4-Cylinder,1NXBU4EE7AZ253217,Black,Automatic,9990,94660.0,0.10553560109866893, S
34,34,http://schema.org/,Car,['Sedan'],Toyota,Tan,2 wheel drive - front,https://images2.autotrader.com/hn/c/a2fccd9a6fee44bd9375e011f9892dab.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '50,090'}",Corolla,Used 2009 Toyota Corolla LE Sedan,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9990, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2009,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=482242399,4-Cylinder,1NXBU40E89Z159169,Tan,Automatic,9990,50090.0,0.19944100618886004, LE Sedan
35,35,http://schema.org/,Car,['Sedan'],Toyota,Gray,2 wheel drive - front,https://images2.autotrader.com/hn/c/33d202c06fe847d28ebdcceb2964832a.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '56,722'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9989, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=501954676,4-Cylinder,2T1BU4EEXAC464462,Dark Charcoal,Automatic,9989,56722.0,0.17610450971404393, S
36,36,http://schema.org/,Car,['Sedan'],Toyota,Gray,2 wheel drive - front,,Toyota,"{'@type': 'QuantitativeValue', 'value': '102,735'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9988, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=501154843,4-Cylinder,2T1BU4EE8AC494639,,Automatic,9988,102735.0,0.09722100549958632, S
37,37,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,,Toyota,"{'@type': 'QuantitativeValue', 'value': '73,225'}",Corolla,Used 2010 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9988, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=501876100,4-Cylinder,JTDBU4EE7A9112977,,Automatic,9988,73225.0,0.13640150221918743, LE
38,38,http://schema.org/,Car,['Sedan'],Toyota,Red,2 wheel drive - front,https://images2.autotrader.com/hn/c/222a8bc622ab4be5b84709d321994fcf.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '88,314'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9988, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=498377612,4-Cylinder,1NXBU4EE7AZ334993,Dark Charcoal,Automatic,9988,88314.0,0.11309645129877482, S
39,39,http://schema.org/,Car,['Sedan'],Toyota,Gray,2 wheel drive - front,https://images2.autotrader.com/hn/c/1a713d3519b440aabcf52316e229228f.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '58,012'}",Corolla,Used 2010 Toyota Corolla LE Sedan,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9980, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=502001806,4-Cylinder,1NXBU4EEXAZ372086,Ash,Automatic,9980,58012.0,0.17203337240570915, LE Sedan
40,40,http://schema.org/,Car,['Sedan'],Toyota,White,2 wheel drive - front,https://images2.autotrader.com/hn/c/2430e62b05284503a6ea8c3e024db623.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '68,479'}",Corolla,Used 2010 Toyota Corolla LE Sedan,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9975, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=492356449,4-Cylinder,1NXBU4EE0AZ196455,Bisque,Automatic,9975,68479.0,0.1456650944085048, LE Sedan
41,41,http://schema.org/,Car,['Sedan'],Toyota,Gray,2 wheel drive - front,https://images2.autotrader.com/hn/c/18d0c522e41d4456b8ede00d0a1b84f4.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '79,493'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9950, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=501077625,4-Cylinder,1NXBU4EE0AZ246450,Ash,Automatic,9950,79493.0,0.12516825380851143, S
42,42,http://schema.org/,Car,['Sedan'],Toyota,Tan,2 wheel drive - front,https://images2.autotrader.com/hn/c/de49ec8dfa9c40e5a2c4a91d9a126244.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '46,748'}",Corolla,Used 2010 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9900, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=501783845,4-Cylinder,2T1BU4EE6AC308855,Bisque,Automatic,9900,46748.0,0.21177376572259776, LE
43,43,http://schema.org/,Car,['Sedan'],Toyota,Gray,2 wheel drive - front,https://images2.autotrader.com/hn/c/54e62743b37848bc888656a6df531ed7.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '45,751'}",Corolla,Used 2010 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9896, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=498733164,4-Cylinder,2T1BU4EE8AC354381,Ash,Automatic,9896,45751.0,0.21630128303206486,
44,44,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,https://images2.autotrader.com/hn/c/a07c51e0ffef4162a6ad96c2e77cdc0d.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '54,137'}",Corolla,Used 2009 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9874, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2009,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=501905407,4-Cylinder,1NXBU40E99Z152344,Ash,Automatic,9874,54137.0,0.18238912388939174, LE
45,45,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,,Toyota,"{'@type': 'QuantitativeValue', 'value': '78,231'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9796, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=501825571,4-Cylinder,1NXBU4EE9AZ231705,Dark Charcoal,Automatic,9796,78231.0,0.1252189029924199, S
46,46,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,https://images2.autotrader.com/hn/c/e7539cc3034344758756ca90bc85c312.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '83,382'}",Corolla,Used 2009 Toyota Corolla XLE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9795, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2009,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=500972303,4-Cylinder,JTDBL40E99J024646,Ash,Automatic,9795,83382.0,0.11747139670432467, XLE
47,47,http://schema.org/,Car,['Sedan'],Toyota,Gray,2 wheel drive - front,,Toyota,"{'@type': 'QuantitativeValue', 'value': '33,533'}",Corolla,Used 2009 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9777, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2009,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=501816340,4-Cylinder,2T1BU40E79C123488,Gray,Automatic,9777,33533.0,0.29156353442877164, S
48,48,http://schema.org/,Car,['Sedan'],Toyota,Gray,2 wheel drive - front,https://images2.autotrader.com/hn/c/42b405d5dae143ff8ff076f3440f75d8.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '81,744'}",Corolla,Used 2010 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9743, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=502090815,4-Cylinder,2T1BU4EE6AC296481,,Automatic,9743,81744.0,0.11918917596398512,
